,date,month,year,instruments,volume
58,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,238
107,2019-12-01,12,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,467
119,2019-12-01,12,2019,Municipal bonds_Banks,48
131,2019-12-01,12,2019,Municipal bonds_Institutional Clients,1462
95,2019-12-01,12,2019,Municipal bonds_Investment Dealers,145
167,2019-12-01,12,2019,Municipal bonds_Issuer,18
155,2019-12-01,12,2019,Municipal bonds_Non-Residents,162
143,2019-12-01,12,2019,Municipal bonds_Retail Clients,140
23,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,126
35,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Banks,26
47,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3345
11,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,155
83,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Issuer,63
71,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,121
59,2019-12-01,12,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,337
96,2020-01-01,1,2020,Municipal bonds_Anonymous Systems: IDBBs and ATSs,1382.4195
108,2020-01-01,1,2020,Municipal bonds_Banks,122.2545
120,2020-01-01,1,2020,Municipal bonds_Institutional Clients,2338.229268
84,2020-01-01,1,2020,Municipal bonds_Investment Dealers,258.766
156,2020-01-01,1,2020,Municipal bonds_Issuer,34.45
144,2020-01-01,1,2020,Municipal bonds_Non-Residents,117.29079
132,2020-01-01,1,2020,Municipal bonds_Retail Clients,145.799699
12,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,65.247645
24,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Banks,68.363886
36,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Institutional Clients,3187.583141
0,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Investment Dealers,92.584347
72,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Issuer,67
60,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Non-Residents,100.772646
48,2020-01-01,1,2020,Strip Bond Trading (coupons and residuals)_Retail Clients,309.014691
97,2020-02-01,2,2020,Municipal bonds_Anonymous Systems: IDBBs and ATSs,909.565
109,2020-02-01,2,2020,Municipal bonds_Banks,60.9215
121,2020-02-01,2,2020,Municipal bonds_Institutional Clients,2256.161796
85,2020-02-01,2,2020,Municipal bonds_Investment Dealers,178.989
157,2020-02-01,2,2020,Municipal bonds_Issuer,22.82
145,2020-02-01,2,2020,Municipal bonds_Non-Residents,287.961872
133,2020-02-01,2,2020,Municipal bonds_Retail Clients,129.490066
13,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,130.519014
25,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Banks,30.343388
37,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Institutional Clients,4544.608604
1,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Investment Dealers,73.896584
73,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Issuer,78
61,2020-02-01,2,2020,Strip Bond Trading (coupons and residuals)_Non-Residents,186.49592
