,date,month,year,instruments,volume
118,2019-11-01,11,2019,Mortgage Backed Securities_All,25485
106,2019-11-01,11,2019,Municipal Bonds_All,2309
142,2019-11-01,11,2019,Other Domestic Bonds_All,168
178,2019-11-01,11,2019,Other_All,4396
166,2019-11-01,11,2019,Provincial Bonds_All,19034
70,2019-11-01,11,2019,Provincial Bonds_Over 10 years,182719
58,2019-11-01,11,2019,Provincial Bonds_Under 10 years,233035
10,2019-11-01,11,2019,The Month_3-10 years,695938
22,2019-11-01,11,2019,The Month_Over 10 years,240741
34,2019-11-01,11,2019,The Month_Real Return Bonds,108026
131,2019-12-01,12,2019,Asset-Backed Securities_All,21
95,2019-12-01,12,2019,Corporate Bonds_Over 10 years,830
83,2019-12-01,12,2019,Corporate Bonds_Under 10 years,10565
47,2019-12-01,12,2019,Federal Crown Corporation Bonds_All,347749
155,2019-12-01,12,2019,Government of Canada Bonds_All,32
119,2019-12-01,12,2019,Mortgage Backed Securities_All,28726
107,2019-12-01,12,2019,Municipal Bonds_All,1015
143,2019-12-01,12,2019,Other Domestic Bonds_All,9
179,2019-12-01,12,2019,Other_All,4057
167,2019-12-01,12,2019,Provincial Bonds_All,20968
71,2019-12-01,12,2019,Provincial Bonds_Over 10 years,175575
59,2019-12-01,12,2019,Provincial Bonds_Under 10 years,228326
11,2019-12-01,12,2019,The Month_3-10 years,641359
23,2019-12-01,12,2019,The Month_Over 10 years,262173
35,2019-12-01,12,2019,The Month_Real Return Bonds,174102
180,2020-01-01,1,2020,Asset-Backed Securities_All,17.74
132,2020-01-01,1,2020,Corporate Bonds_3-10 years,6039.169631
144,2020-01-01,1,2020,Corporate Bonds_Over 10 years,1206.175705
120,2020-01-01,1,2020,Corporate Bonds_Under 3 years,6035.802015
60,2020-01-01,1,2020,Federal Crown Corporation Bonds_3-10 years,118616.126101
72,2020-01-01,1,2020,Federal Crown Corporation Bonds_Over 10 years,1661.272
48,2020-01-01,1,2020,Federal Crown Corporation Bonds_Under 3 years,204843.061768
12,2020-01-01,1,2020,Government of Canada Bonds_3-10 years,848475.423693
204,2020-01-01,1,2020,Government of Canada Bonds_All,130.2015
24,2020-01-01,1,2020,Government of Canada Bonds_Over 10 years,332842.143377
36,2020-01-01,1,2020,Government of Canada Bonds_Real Return Bonds,143361.790345
0,2020-01-01,1,2020,Government of Canada Bonds_Under 3 years,736045.072124
168,2020-01-01,1,2020,Mortgage Backed Securities_All,26572.979793
156,2020-01-01,1,2020,Municipal Bonds_All,1500.559408
192,2020-01-01,1,2020,Other Domestic Bonds_All,100.416423
228,2020-01-01,1,2020,Other_All,3396.079656
96,2020-01-01,1,2020,Provincial Bonds_3-10 years,166012.836679
216,2020-01-01,1,2020,Provincial Bonds_All,11082.174638
108,2020-01-01,1,2020,Provincial Bonds_Over 10 years,124782.117134
84,2020-01-01,1,2020,Provincial Bonds_Under 3 years,64658.322
181,2020-02-01,2,2020,Asset-Backed Securities_All,135.048
133,2020-02-01,2,2020,Corporate Bonds_3-10 years,8614.356812
145,2020-02-01,2,2020,Corporate Bonds_Over 10 years,478.04095
121,2020-02-01,2,2020,Corporate Bonds_Under 3 years,7749.149539
61,2020-02-01,2,2020,Federal Crown Corporation Bonds_3-10 years,115180.315652
73,2020-02-01,2,2020,Federal Crown Corporation Bonds_Over 10 years,3512.885
49,2020-02-01,2,2020,Federal Crown Corporation Bonds_Under 3 years,168748.852504
13,2020-02-01,2,2020,Government of Canada Bonds_3-10 years,894098.73774
205,2020-02-01,2,2020,Government of Canada Bonds_All,12.5
25,2020-02-01,2,2020,Government of Canada Bonds_Over 10 years,286900.856182
37,2020-02-01,2,2020,Government of Canada Bonds_Real Return Bonds,163091.287358
1,2020-02-01,2,2020,Government of Canada Bonds_Under 3 years,598845.258346
169,2020-02-01,2,2020,Mortgage Backed Securities_All,42984.513502
157,2020-02-01,2,2020,Municipal Bonds_All,1007.77
193,2020-02-01,2,2020,Other Domestic Bonds_All,41.731613
229,2020-02-01,2,2020,Other_All,4439.654468
97,2020-02-01,2,2020,Provincial Bonds_3-10 years,180320.05366
217,2020-02-01,2,2020,Provincial Bonds_All,16529.171064
109,2020-02-01,2,2020,Provincial Bonds_Over 10 years,142849.711529
85,2020-02-01,2,2020,Provincial Bonds_Under 3 years,72748.00201
182,2020-03-01,3,2020,Asset-Backed Securities_All,196.56
134,2020-03-01,3,2020,Corporate Bonds_3-10 years,14108.252707
146,2020-03-01,3,2020,Corporate Bonds_Over 10 years,752.096
122,2020-03-01,3,2020,Corporate Bonds_Under 3 years,23784.698888
62,2020-03-01,3,2020,Federal Crown Corporation Bonds_3-10 years,195514.410843
