,date,month,year,instruments,volume
35,2019-12-01,12,2019,Mortgage Backed Securities_Banks,1089
47,2019-12-01,12,2019,Mortgage Backed Securities_Institutional Clients,3707
11,2019-12-01,12,2019,Mortgage Backed Securities_Investment Dealers,752
83,2019-12-01,12,2019,Mortgage Backed Securities_Issuer,0
71,2019-12-01,12,2019,Mortgage Backed Securities_Non-Residents,30
59,2019-12-01,12,2019,Mortgage Backed Securities_Retail Clients,63
96,2020-01-01,1,2020,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,99.796
108,2020-01-01,1,2020,Asset-Backed Securities_Banks,44.5885
120,2020-01-01,1,2020,Asset-Backed Securities_Institutional Clients,903.555
84,2020-01-01,1,2020,Asset-Backed Securities_Investment Dealers,28.3205
156,2020-01-01,1,2020,Asset-Backed Securities_Issuer,0.0
144,2020-01-01,1,2020,Asset-Backed Securities_Non-Residents,16.052
132,2020-01-01,1,2020,Asset-Backed Securities_Retail Clients,1.395
12,2020-01-01,1,2020,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,199.23
24,2020-01-01,1,2020,Mortgage Backed Securities_Banks,1251.646369
36,2020-01-01,1,2020,Mortgage Backed Securities_Institutional Clients,7155.45078
0,2020-01-01,1,2020,Mortgage Backed Securities_Investment Dealers,394.015349
72,2020-01-01,1,2020,Mortgage Backed Securities_Issuer,0
60,2020-01-01,1,2020,Mortgage Backed Securities_Non-Residents,38.074073
48,2020-01-01,1,2020,Mortgage Backed Securities_Retail Clients,23.726
97,2020-02-01,2,2020,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,14
109,2020-02-01,2,2020,Asset-Backed Securities_Banks,57.2105
121,2020-02-01,2,2020,Asset-Backed Securities_Institutional Clients,1037.134589
85,2020-02-01,2,2020,Asset-Backed Securities_Investment Dealers,304.629
157,2020-02-01,2,2020,Asset-Backed Securities_Issuer,0.0
145,2020-02-01,2,2020,Asset-Backed Securities_Non-Residents,111.718
133,2020-02-01,2,2020,Asset-Backed Securities_Retail Clients,8.351
13,2020-02-01,2,2020,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,40
25,2020-02-01,2,2020,Mortgage Backed Securities_Banks,2125.427581
37,2020-02-01,2,2020,Mortgage Backed Securities_Institutional Clients,3344.22662
1,2020-02-01,2,2020,Mortgage Backed Securities_Investment Dealers,754.538618
73,2020-02-01,2,2020,Mortgage Backed Securities_Issuer,0
61,2020-02-01,2,2020,Mortgage Backed Securities_Non-Residents,25.284805
49,2020-02-01,2,2020,Mortgage Backed Securities_Retail Clients,3.2
98,2020-03-01,3,2020,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,0
110,2020-03-01,3,2020,Asset-Backed Securities_Banks,10.305
122,2020-03-01,3,2020,Asset-Backed Securities_Institutional Clients,891.626
86,2020-03-01,3,2020,Asset-Backed Securities_Investment Dealers,3.418
158,2020-03-01,3,2020,Asset-Backed Securities_Issuer,0.0
146,2020-03-01,3,2020,Asset-Backed Securities_Non-Residents,106.123
134,2020-03-01,3,2020,Asset-Backed Securities_Retail Clients,2.599
14,2020-03-01,3,2020,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
26,2020-03-01,3,2020,Mortgage Backed Securities_Banks,2299.755189
38,2020-03-01,3,2020,Mortgage Backed Securities_Institutional Clients,6821.847512
2,2020-03-01,3,2020,Mortgage Backed Securities_Investment Dealers,744.813084
74,2020-03-01,3,2020,Mortgage Backed Securities_Issuer,0
62,2020-03-01,3,2020,Mortgage Backed Securities_Non-Residents,278.873995
50,2020-03-01,3,2020,Mortgage Backed Securities_Retail Clients,2.4
99,2020-04-01,4,2020,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,94
111,2020-04-01,4,2020,Asset-Backed Securities_Banks,7.9515
123,2020-04-01,4,2020,Asset-Backed Securities_Institutional Clients,922.590888
